study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable,methods,unit,xc,sc,nc,xe,se,ne,ph,xc,xe,RRpH,yield,xc,xe,RRyield,plant biomass,xc,xe,RRbiomass,leaf biomass,xc,xe,RRleaf_biomass,shoot biomass,xc,xe,RRshoot_biomass,root biomass,xc,xe,RRroot_biomass,plant_p_leaf,xc,xe,RR_pleaf,plant_p_grain,xc,xe,RR_pgrain,plant_p_shoot,xc,xe,RR_pshoot,plant_p_root,xc,xe,RR_proot,plant_p,xc,xe,RR_pplant
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus intraradices (schenk and smith)",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,71.000000 ,6.708204 ,5.000000 ,139.000000 ,15.652476 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610000 ,0.620000 ,0.016261 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus intraradices (schenk and smith)",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,69.000000 ,8.944272 ,5.000000 ,151.000000 ,15.652476 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330000 ,0.350000 ,0.058841 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus mosseae (nicol and gerd.) gerd. and trappe",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,34.000000 ,8.944272 ,5.000000 ,120.000000 ,15.652476 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.820000 ,0.840000 ,0.024098 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus mosseae (nicol and gerd.) gerd. and trappe",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,71.000000 ,6.708204 ,5.000000 ,149.000000 ,26.832816 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610000 ,0.590000 ,(0.033336),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.000000 ,josef kohler(2010),2009.000000 ,murcia (se spain).,37.986110 ,−1.13028,"pseudomoNAs mendociNA palleroni, glomus mosseae (nicol and gerd.) gerd. and trappe",mix,mix,greenhouse,mix inoculum,sterilized mix inoculum ,mix yes,1010cfu/pot,1010cfu/pot,0.7kg,14285714285.000000 ,10.154902 ,cfu/kg soil,yes,soils,NA,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,dry,stress,dry,NA,no fertilizer,NA,NA,no NAtive,lettuce,l. sativa l. cv. tafalla,herbaceous plants,35.000000 ,Short-term,phosphatase,acid pme,nmolpnpg-1h-2,69.000000 ,8.944272 ,5.000000 ,141.000000 ,22.360680 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330000 ,0.350000 ,0.058841 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.000000 ,li haiyun(2020),2020.000000 ,NA,37.458333 ,107.333333 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,oat,aveNA sativa,herbaceous plants,45.000000 ,Short-term,phosphatase,alkaline pme,mg/g,2.623660 ,0.129030 ,6.000000 ,3.548390 ,0.150530 ,6.000000 ,ph,8.045100 ,8.037800 ,(0.000908),NA,NA,NA,NA,NA,0.216176 ,0.988235 ,1.519828 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.000000 ,li haiyun(2020),2020.000000 ,NA,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa,herbaceous plants,45.000000 ,Short-term,phosphatase,alkaline pme,mg/g,2.860220 ,0.215050 ,6.000000 ,6.543120 ,0.188060 ,6.000000 ,ph,8.064680 ,7.909820 ,(0.019389),NA,NA,NA,NA,NA,0.185294 ,0.360284 ,0.664949 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.000000 ,li haiyun(2020),2020.000000 ,NA,36.062000 ,103.694000 ,"helminthosporium tritici-vulgaris, alterNAria solani, fusarium oxysporum, sclerotinias clerotiorum",pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,0.5kg,NA,NA,NA,no,soils,NA,other,sierozem,unknow,rhizosphere,8.28,0.918030 ,NA,NA,26.310905 ,1.420136 ,NA,NA,0.36,(0.443697),NA,NA,42.29,1.626238 ,86.480000 ,1.936916 ,11.25,1.051153 ,129.7,2.112940 ,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,cucumber ,cucumis sativus,herbaceous plants,45.000000 ,Short-term,phosphatase,alkaline pme,mg/g,2.430110 ,0.150540 ,6.000000 ,3.870970 ,4.129030 ,6.000000 ,ph,7.943860 ,7.893580 ,(0.006350),NA,NA,NA,NA,NA,0.586765 ,1.513240 ,0.947384 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.000000 ,"pan, jing(2020)",2020.000000 ,"n 39°02′38″, e 103°36′36″",39.043889 ,103.610000 ,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,100g/pot,NA,1.3kg,NA,NA,NA,no,soils,farmland,cropland,ustifluvent,unknow,rhizosphere,8.140000 ,0.910624 ,NA,NA,9.360000 ,0.971276 ,0.610000 ,(0.214670),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.750000 ,1.678973 ,unsterilization,saline soil,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,russian olive,elaeagnus angustifolia l.,shrub,110.000000 ,Medium-term,phosphatase,alkaline pme,umol/d/g,7.006920 ,0.155710 ,5.000000 ,8.148790 ,0.259510 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487805 ,1.737800 ,1.270459 ,NA,0.290520 ,1.422020 ,1.588161 ,NA,0.305810 ,1.498470 ,1.589236 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.000000 ,"pan, jing(2020)",2020.000000 ,"n 39°02′38″, e 103°36′36″",39.043889 ,103.610000 ,bacillus amyloliquefaciens fzb42,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"108cfu/ml, 40ml/pot",NA,1.3kg,NA,NA,NA,no,seeds,farmland,cropland,ustifluvent,unknow,rhizosphere,8.140000 ,0.910624 ,NA,NA,9.360000 ,0.971276 ,0.610000 ,(0.214670),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.750000 ,1.678973 ,unsterilization,saline soil,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,russian olive,elaeagnus angustifolia l.,shrub,110.000000 ,Medium-term,phosphatase,alkaline pme,umol/d/g,7.006920 ,0.155710 ,5.000000 ,7.733560 ,0.415230 ,5.000000 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487805 ,0.853659 ,0.559616 ,NA,0.290520 ,0.581040 ,0.693147 ,NA,0.305810 ,0.795107 ,0.955513 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
