study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,fiNAl inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,NAtive,plant,plant latin,plant type,experimental duration,experimental.periods,variable
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
9.000000 ,"liu, q.(2007)",2007.000000 ,NA,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,NA,NA,NA,NA,NA,NA,0.205000 ,(0.688246),NA,NA,NA,NA,NA,NA,0.900000 ,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap
11.000000 ,"della mónica, ivaNA f.(2020)",2020.000000 ,NA,−34.5736,−58.4373,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.985010 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap
11.000000 ,"della mónica, ivaNA f.(2020)",2020.000000 ,NA,−34.5736,−58.4373,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.985010 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap
11.000000 ,"della mónica, ivaNA f.(2020)",2020.000000 ,NA,−34.5736,−58.4373,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.985010 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap
