study_id,publication,pubyear,location,latitude,longitude,microbial_name,microbial_type,inoculant_type,experimental_type,inoculum_in_tr,inoculum_in_ck,inoculum,inoculation_amount_14,inoculation_amount_15,soil_weight,fi_n_al_inoculation_amount,log10,unit,inoculant_quantity,inoculation_location,soil_use_type,soil_origin,soil_type,sandy_or_not_sandy,extraction_part,soil_ph,log10ph,soil_tc,log10tc,soil_soc,log10soc,tn,log10tn,tp,log10tp,organic_p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application_background,stress,specific_background,rate,fertilizer,fertilizer_type,supply_rate,n_ative,plant,plant_latin,plant_type,experimental_duration,experimental_periods,variable,source_table
24,"turan, metin(2012)",2012,29°55’ n and 41°16’ e,29.916667,41.266667,bacillus megaterium m3,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,ap,table1
24,"turan, metin(2012)",2012,29°55’ n and 41°16’ e,29.916667,41.266667,azospirillum brasilense sp245,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,ap,table1
24,"turan, metin(2012)",2012,29°55’ n and 41°16’ e,29.916667,41.266667,"bacillus subtilis osu-142, bacillus megaterium m3, azospirillum brasilense sp245",pgpr,bacteria,field,bacteril suspension,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,ap,table1
24,"turan, metin(2012)",2012,29°55’ n and 41°16’ e,29.916667,41.266667,"bacillus megater-
ium rc07",pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,ap,table1
24,"turan, metin(2012)",2012,29°55’ n and 41°16’ e,29.916667,41.266667,paenibacillus polymyxa rc05,pgpr,bacteria,field,bacterial medium,none,bacteria yes,"108cfu/ml, 430seeds/m2",NA,field,NA,NA,NA,no,seeds,farmland,cropland,aridisol,not sandy,rhizosphere,7.3,0.863323,NA,NA,16.241299,1.210621,0.86,(0.065502),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,"triticum aestivum spp.
vulgare cv. kirik",crop,730,Long-term,ap,table1
26,"garcia, c.(2000)",2000,murcia,37.986110,−1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,ap,table1
26,"garcia, c.(2000)",2000,murcia,37.986110,−1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,ap,table1
26,"garcia, c.(2000)",2000,murcia,37.986110,−1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic substrate,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,ap,table1
26,"garcia, c.(2000)",2000,murcia,37.986110,−1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic substrate,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,arbuscular mycorrhizal fungi,amf,amf,greenhouse,amf inoculum,none,amf inoculum yes,"60 spores/g, 10g/pot",NA,0.400000,1500,3.176091,spores/kg soil,yes,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,penicillium brevicompactum,psf,fungi,greenhouse,fungal suspension,none,fungi yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,"penicillium brevicompactum, arbuscular mycorrhizal fungi",mix,mix,greenhouse,mix inoculum,none,mix yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,aspergillus niger,psf,fungi,greenhouse,fungal suspension,none,fungi yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,"aspergillus niger, arbuscular mycorrhizal fungi",mix,mix,greenhouse,mix inoculum,none,mix yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,"penicillium brevicompactum, aspergillus niger",fungi,fungi,greenhouse,fungi spores,none,fungi yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
34,"perea rojas, yamel del carmen(2019)",2019,"(lat: 19°30/041.09//n, long:96°56/25.93//w)",19.511414,−96.940536,"penicillium brevicompactum, aspergillus niger, arbuscular mycorrhizal fungi",mix,mix,greenhouse,mix inoculum,none,mix yes,NA,NA,0.400000,NA,NA,NA,no,soils,mix of soil and perlite,other,NA,unknow,rhizosphere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,coffee plants,coffea arabica l.,shrub,240,Medium-term,ap,table1
35,"bi, yinli(2019)",2019,beijing,39.904200,116.407400,funneliformis mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,NA,NA,NA,NA,no,soils,"mix of river sand soil, coal ash and gangue",other,NA,sandy,rhizosphere,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,alfalfa,medicago sativa l.,herbaceous plants,60,Short-term,ap,table1
37,"qin, yongqiang(2022)",2022,"23◦9′30′′ n, 113◦21′37′′e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.900000,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,rhizosphere,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,(0.337242),NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,stylo,stylosanthes guianensis,herbaceous plants,70,Short-term,ap,table1
37,"qin, yongqiang(2022)",2022,"23◦9′30′′ n, 113◦21′37′′e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.900000,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,bulk,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,(0.337242),NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,stylo,stylosanthes guianensis,herbaceous plants,70,Short-term,ap,table1
37,"qin, yongqiang(2022)",2022,"23◦9′30′′ n, 113◦21′37′′e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.900000,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,rhizosphere,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,(0.337242),NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,bahiagrass,paspalum notatum,herbaceous plants,70,Short-term,ap,table1
37,"qin, yongqiang(2022)",2022,"23◦9′30′′ n, 113◦21′37′′e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.900000,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,bulk,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,(0.337242),NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,bahiagrass,paspalum notatum,herbaceous plants,70,Short-term,ap,table1
39,"tarafdar, j. c.(1995)",1995,NA,48.705600,9.210400,glomus mossece,amf,amf,greenhouse,amf spores,none,amf yes,NA,NA,0.500000,NA,NA,NA,no,soils,NA,other,cambisol,unknow,bulk,6.9,0.838849,NA,NA,2.204176,0.343246,NA,NA,1.07,0.029384,530,2.724276,NA,NA,NA,NA,14.9,1.173186,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,white clover,var.huia,herbaceous plants,50,Short-term,ap,table1
39,"tarafdar, j. c.(1995)",1995,NA,48.705600,9.210400,glomus mossece,amf,amf,greenhouse,amf spores,none,amf yes,NA,NA,0.500000,NA,NA,NA,no,soils,NA,other,"psammentic
paleustalf",unknow,bulk,5.9,0.770852,NA,NA,0.232019,(0.634477),NA,NA,0.137,(0.863279),22.5,1.352183,NA,NA,NA,NA,7.8,0.892095,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,white clover,var.huia,herbaceous plants,50,Short-term,ap,table1
44,"duan, chengjiao(2019)",2019,"yangling, shannxi
province, chiNA",34.272000,108.081900,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1.000000,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,(0.698970),0.36,(0.443697),NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,ap,table1
44,"duan, chengjiao(2019)",2019,"yangling, shannxi
province, chiNA",34.272000,108.081900,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1.000000,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,(0.698970),0.36,(0.443697),NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,stress,heavy metal,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,ap,table1
44,"duan, chengjiao(2019)",2019,"yangling, shannxi
province, chiNA",34.272000,108.081900,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1.000000,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,(0.698970),0.36,(0.443697),NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,stress,heavy metal,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,ap,table1
46,"abdelkrim, souhir(2020)",2020,"morNAg (36°35′57.82″n10°18′59.65″e, altitude 735 m), in northern
tunisia",36.599394,10.316569,"r. leguminosarum (m5) + b. simplex + luteibacter sp. + variovorax
sp",bacteria,bacteria,field,bacterial suspension,water,bacteria yes,NA,NA,field,NA,NA,NA,no,soils,plantation,plantation,NA,not sandy,rhizosphere,8.8,0.944483,NA,NA,38.863109,1.589538,2.4,0.380211,NA,NA,NA,NA,NA,NA,NA,NA,86.4,1.936514,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,grass pea,lathyrus sativus,herbaceous plants,120,Medium-term,ap,table1
46,"abdelkrim, souhir(2020)",2020,"morNAg (36°35′57.82″n10°18′59.65″e, altitude 735 m), in northern
tunisia",36.599394,10.316569,"r. leguminosarum (m5) + p. fluorescens (k23) + luteibacter
sp. + variovorax sp.",bacteria,bacteria,field,bacterial suspension,water,bacteria yes,NA,NA,field,NA,NA,NA,no,soils,plantation,plantation,NA,not sandy,rhizosphere,8.8,0.944483,NA,NA,38.863109,1.589538,2.4,0.380211,NA,NA,NA,NA,NA,NA,NA,NA,86.4,1.936514,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,grass pea,lathyrus sativus,herbaceous plants,120,Medium-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,maize,var. cohm-5,crop,45,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,1.25mg/kg,unknow,maize,var. cohm-5,crop,45,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,2.5mg/kg,unknow,maize,var. cohm-5,crop,45,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,3.75mg/kg,unknow,maize,var. cohm-5,crop,45,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,5mg/kg,unknow,maize,var. cohm-5,crop,45,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,maize,var. cohm-5,crop,75,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,1.25mg/kg,unknow,maize,var. cohm-5,crop,75,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,2.5mg/kg,unknow,maize,var. cohm-5,crop,75,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,3.75mg/kg,unknow,maize,var. cohm-5,crop,75,Short-term,ap,table1
49,"subramanian, kizhaeral s.(2009)",2009,coimbatore,11.016800,76.955800,"glomus
intraradices",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,10.000000,NA,NA,NA,no,soils,farmland,cropland,alfisol,sandy,bulk,7.4,0.869232,NA,NA,0.0026,(2.585027),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1.763428,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,zn,5mg/kg,unknow,maize,var. cohm-5,crop,75,Short-term,ap,table1
50,"patel, dhara(2013)",2013,dholka,22.725900,72.441600,enterobacter clocae,pgpr,bacteria,field,bacterial medium,none,bacterial medium yes,NA,NA,field,NA,NA,NA,no,seeds,forest,forest,saline soil,unknow,rhizosphere,7.97,0.901458,NA,NA,0.0069,(2.161151),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,jatropha,"jatropha
curcas l.",shrub,365,Medium-term,ap,table1
50,"patel, dhara(2013)",2013,dholka,22.725900,72.441600,"pseudomoNAs pseu
doalcaligenes",pgpr,bacteria,field,bacterial medium,none,bacterial medium yes,NA,NA,field,NA,NA,NA,no,seeds,forest,forest,saline soil,unknow,rhizosphere,7.97,0.901458,NA,NA,0.0069,(2.161151),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,jatropha,"jatropha
curcas l.",shrub,365,Medium-term,ap,table1
50,"patel, dhara(2013)",2013,dholka,22.725900,72.441600,bacillus sp.,pgpr,bacteria,field,bacterial medium,none,bacterial medium yes,NA,NA,field,NA,NA,NA,no,seeds,forest,forest,saline soil,unknow,rhizosphere,7.97,0.901458,NA,NA,0.0069,(2.161151),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,jatropha,"jatropha
curcas l.",shrub,365,Medium-term,ap,table1
50,"patel, dhara(2013)",2013,dholka,22.725900,72.441600,glomus intraradices,amf,amf,field,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,saline soil,unknow,rhizosphere,7.97,0.901458,NA,NA,0.0069,(2.161151),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,jatropha,"jatropha
curcas l.",shrub,365,Medium-term,ap,table1
51,"caravaca, f.(2002)",2002,murcia,37.986110,−1.13028,pisolithus arhizus,ecm,fungi,field,fungal suspension,none,fungi yes,NA,NA,field,NA,NA,NA,no,seedings,NA,other,haplocalcid,unknow,rhizosphere,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pine,pinus,tree,2190,Long-term,ap,table1
52,"wu, qiang-sheng(2011)",2011,NA,30.350000,112.190000,glomus diaphanum,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,1400 spores /pot,NA,3.400000,412,2.614897,spores/kg soil,yes,soils,NA,other,xanthiudic ferralsols,unknow,rhizosphere,5.4,0.732394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,1.267172,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,trifoliate orange,poncirus trifoliata,shrub,200,Medium-term,ap,table1
52,"wu, qiang-sheng(2011)",2011,NA,30.350000,112.190000,glomus mosseae,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,1400 spores /pot,NA,3.400000,412,2.614897,spores/kg soil,yes,soils,NA,other,xanthiudic ferralsols,unknow,rhizosphere,5.4,0.732394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,1.267172,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,trifoliate orange,poncirus trifoliata,shrub,200,Medium-term,ap,table1
52,"wu, qiang-sheng(2011)",2011,NA,30.350000,112.190000,"glo
mus versiforme",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,1400 spores /pot,NA,3.400000,412,2.614897,spores/kg soil,yes,soils,NA,other,xanthiudic ferralsols,unknow,rhizosphere,5.4,0.732394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,1.267172,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,trifoliate orange,poncirus trifoliata,shrub,200,Medium-term,ap,table1
52,"wu, qiang-sheng(2011)",2011,NA,30.350000,112.190000,glomus diaphanum,amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",sterilized amf inoculum,amf yes,1400 spores /pot,NA,3.400000,412,2.614897,spores/kg soil,yes,soils,NA,other,xanthiudic ferralsols,unknow,rhizosphere,5.4,0.732394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,1.267172,NA,NA,sterilization,NA,stress,dry,NA,no fertilizer,NA,NA,unknow,trifoliate orange,poncirus trifoliata,shrub,200,Medium-term,ap,table1
