study_id,publication,pubyear,location,latitude,longitude,microbial_name,microbial_type,inoculant_type,experimental_type,inoculum_in_tr,inoculum_in_ck,inoculum,inoculation_amount_14,inoculation_amount_15,soil_weight,fi_n_al_inoculation_amount,log10,unit,inoculant_quantity,inoculation_location,soil_use_type,soil_origin,soil_type,sandy_or_not_sandy,extraction_part,soil_ph,log10ph,soil_tc,log10tc,soil_soc,log10soc,tn,log10tn,tp,log10tp,organic_p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application_background,stress,specific_background,rate,fertilizer,fertilizer_type,supply_rate,n_ative,plant,plant_latin,plant_type,experimental_duration,experimental_periods,variable,source_table
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
9,"liu, q.(2007)",2007,NA,−38.1420,176.251000,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.602060,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,(0.688246),NA,NA,NA,NA,NA,NA,0.9,(0.045757),NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,table1
11,"della mónica, ivaNA f.(2020)",2020,NA,−34.5736,−58.4373,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.698970,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,table1
11,"della mónica, ivaNA f.(2020)",2020,NA,−34.5736,−58.4373,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.698970,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,table1
11,"della mónica, ivaNA f.(2020)",2020,NA,−34.5736,−58.4373,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.698970,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,table1
11,"della mónica, ivaNA f.(2020)",2020,NA,−34.5736,−58.4373,talaromyces helicus l7b,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.698970,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,table1
11,"della mónica, ivaNA f.(2020)",2020,NA,−34.5736,−58.4373,rhizophagus irregularis,amf,amf,greenhouse,"amf inoculum(consisted of agar, spores)",none,amf inoculum yes,NA,NA,1l,NA,NA,NA,no,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.40107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000,8.698970,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,20,Short-term,ap,table1
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.629470,−7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife – ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000,8.698970,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.903090,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum ‘campbell 33ʹ,herbaceous plants,40,Short-term,ap,table1
