study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
192,"li, ning(2023)",2023,na,effective microorganisms (em) agents ,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 200ml/kg",na,10,2000000000,9.30103,cfu/kg soil,yes,soils,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,zea mays,crop,100,Medium-term,tp,acid digestion,mg/kg,521.8,29,4,526.1,17,4,ph,5.9,0.2,4,5.7,0.1,4,na,na,na,na,na,na,5.73756,0.43439,4,6.24434,0.36199,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.008206936,0.001033233
192,"li, ning(2023)",2023,na,burkholderia strain xqp35,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 200ml/kg",na,10,2000000000,9.30103,cfu/kg soil,yes,soils,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,zea mays,crop,100,Medium-term,tp,acid digestion,mg/kg,521.8,29,4,474.1,35,4,ph,5.9,0.2,4,6.4,0.00001,4,na,na,na,na,na,na,5.73756,0.43439,4,9.12217,0.2715,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.095866103,0.002134696
192,"li, ning(2023)",2023,na,raoultella strain sqp80,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 200ml/kg",na,10,2000000000,9.30103,cfu/kg soil,yes,soils,na,other,na,unknow,bulk,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,maize,zea mays,crop,100,Medium-term,tp,acid digestion,mg/kg,521.8,29,4,424.7,44,4,ph,5.9,0.2,4,6.1,0.1,4,na,na,na,na,na,na,5.73756,0.43439,4,8.57919,0.28959,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.205901335,0.003455568
359,"nie, hui(2024)",2024,"31â¦7â² n,119â¦12â² e",bacillus thuringiensis nl-11,bacteria,bacteria,greenhouse,bacterial suspension,sterilized bacterial suspension,bacteria yes,"1*108cfu/ml, 80ml/pot",na,5,1600000000,9.20412,cfu/kg soil,yes,soils,na,forest,na,unknow,bulk,5.45,0.736397,0.3,-0.522879,na,na,5,0.69897,1.47,0.167317,na,na,na,na,na,na,2.01,0.303196,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,alfalfa,na,crop,180,Medium-term,tp,acid digestion,g/kg,0.438662,0.026022,3,0.561338,0.052045,3,ph,5.22449,0.08163,3,5.44898,0.14286,3,na,na,na,na,na,na,0.481412,0.056947,3,1.89917,0.14204,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.246594035,0.004038423
373,"sun, lianhao(2025)",2025,"31â¦7â² n, 119â¦12â² e",bacillus thuringiensis nl-11,bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 80ml/pot",na,5,1600000000,9.20412,cfu/kg soil,yes,soils,na,forest,na,not sandy,rhizosphere,5.31,0.725095,0.4,-0.39794,3.3,0.518514,0.0051,-2.29243,1.23,0.089905,na,na,na,na,na,na,2.1,0.322219,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,alfalfa,na,crop,180,Medium-term,tp,acid digestion,na,0.44081,0.07583,5,0.563863,0.251232,5,ph,5.036,0.05748,5,4.804,0.045431,5,na,na,na,na,na,na,0.33678,0.07996,5,1.06003,0.25075,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.246197371,0.045622325
373,"sun, lianhao(2025)",2025,"31â¦7â² n, 119â¦12â² e",bacillus thuringiensis nl-11,bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 80ml/pot",na,5,1600000000,9.20412,cfu/kg soil,yes,soils,na,forest,na,not sandy,rhizosphere,5.31,0.725095,0.4,-0.39794,3.3,0.518514,0.0051,-2.29243,1.23,0.089905,na,na,na,na,na,na,2.1,0.322219,na,na,unsterilization,na,no stress,na,na,fertilizer,peat,na,no native,alfalfa,na,crop,180,Medium-term,tp,acid digestion,na,0.33811,0.078829,5,0.506231,0.219384,5,ph,5.292,0.134967,5,5.326,0.090907,5,na,na,na,na,na,na,1.884,0.1001,5,3.34953,0.56016,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.403621801,0.04843287
373,"sun, lianhao(2025)",2025,"31â¦7â² n, 119â¦12â² e",bacillus thuringiensis nl-11,bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 80ml/pot",na,5,1600000000,9.20412,cfu/kg soil,yes,soils,na,forest,na,not sandy,rhizosphere,5.31,0.725095,0.4,-0.39794,3.3,0.518514,0.0051,-2.29243,1.23,0.089905,na,na,na,na,na,na,2.1,0.322219,na,na,unsterilization,na,no stress,na,na,fertilizer,biochar,na,no native,alfalfa,na,crop,180,Medium-term,tp,acid digestion,na,0.713396,0.211354,5,0.904984,0.066436,5,ph,4.852,0.09368,5,4.802,0.127028,5,na,na,na,na,na,na,1.45,0.3568,5,3.00225,0.15326,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.237880598,0.018632388
373,"sun, lianhao(2025)",2025,"31â¦7â² n, 119â¦12â² e",bacillus thuringiensis nl-11,bacteria,bacteria,greenhouse,bacterial suspension,water,bacteria yes,"1*108cfu/ml, 80ml/pot",na,5,1600000000,9.20412,cfu/kg soil,yes,soils,na,forest,na,not sandy,rhizosphere,5.31,0.725095,0.4,-0.39794,3.3,0.518514,0.0051,-2.29243,1.23,0.089905,na,na,na,na,na,na,2.1,0.322219,na,na,unsterilization,na,no stress,na,na,fertilizer,spent mushroom substrate,na,no native,alfalfa,na,crop,180,Medium-term,tp,acid digestion,na,0.67134,0.253568,5,0.456386,0.201625,5,ph,5.89,0.207461,5,6.596,0.065909,5,na,na,na,na,na,na,3.2512,0.74426,5,5.5822,0.8626,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.385936772,0.067567102
