study.id,publication,pubyear,location,Latitude,Longitude,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,fiNAl.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,xe.1,RRpH,yield,xc.2,xe.2,RRyield,plant.biomass,xc.3,xe.3,RRbiomass,leaf.biomass,xc.4,xe.4,RRleaf_biomass,shoot.biomass,xc.5,xe.5,RRshoot_biomass,root.biomass,xc.6,xe.6,RRroot_biomass,plant_p_leaf,xc.7,xe.7,RR_pleaf,plant_p_grain,xc.8,xe.8,RR_pgrain,plant_p_shoot,xc.9,xe.9,RR_pshoot,plant_p_root,xc.10,xe.10,RR_proot,plant_p,xc.11,xe.11,RR_pplant,RR,Vi
26,"garcia, c.(2000)",2000,murcia,37.98611,â1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,tp,acid digestion,g/kg,17.4,0.71,4,22.7,1.81,4,ph,8.75,8.47,-0.032523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265894718,0.002005699
26,"garcia, c.(2000)",2000,murcia,37.98611,â1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic substrate,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,tp,acid digestion,g/kg,22.1,0.78,4,26.8,0.89,4,ph,8.42,8.34,-0.009547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192824279,0.000587127
26,"garcia, c.(2000)",2000,murcia,37.98611,â1.13028,"pisolithus arhizus (pers. i.) rauschert (= p. tinctorius
(pers.) coker and couch)",ecm,fungi,field,fungal medium,none,fungal medium yes,NA,NA,field,NA,NA,NA,no,soils,forest,forest,haplocalcid,unknow,bulk,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic substrate,NA,unknow,pinus halepensis miller,pinus halepensis miller,tree,1095,Long-term,tp,acid digestion,g/kg,22.1,0.78,4,25.3,0.22,4,ph,8.42,8.45,0.003557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135226787,0.000330322
37,"qin, yongqiang(2022)",2022,"23â¦9â²30â²â² n, 113â¦21â²37â²â²e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.9,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,rhizosphere,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,-0.337242,NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,stylo,stylosanthes guianensis,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.163174,0.00502,5,0.163174,0.011715,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.001220184
37,"qin, yongqiang(2022)",2022,"23â¦9â²30â²â² n, 113â¦21â²37â²â²e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.9,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,bulk,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,-0.337242,NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,stylo,stylosanthes guianensis,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.165419,0.00837,5,0.160928,0.005022,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027524589,0.000706817
37,"qin, yongqiang(2022)",2022,"23â¦9â²30â²â² n, 113â¦21â²37â²â²e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.9,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,rhizosphere,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,-0.337242,NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,bahiagrass,paspalum notatum,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.167417,0.008394,5,0.17042,0.015109,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017778272,0.002074798
37,"qin, yongqiang(2022)",2022,"23â¦9â²30â²â² n, 113â¦21â²37â²â²e",23.158333,113.360278,rhizophagus irregularis daom 197198,amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),none,amf inoculum yes,NA,NA,0.9,NA,NA,NA,no,soils,plantation,plantation,NA,unknow,bulk,4.43,0.646404,NA,NA,19.141531,1.281977,1.66,0.220108,0.46,-0.337242,NA,NA,NA,NA,NA,NA,NA,NA,98.3,1.992554,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no native,bahiagrass,paspalum notatum,herbaceous plants,70,Short-term,tp,unknow,g/kg,0.174925,0.010071,5,0.171171,0.008394,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021694254,0.001143894
44,"duan, chengjiao(2019)",2019,"yangling, shannxi province, chiNA",34.272,108.0819,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,-0.69897,0.36,-0.443697,NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,tp,acid digestion,g/kg,0.803419,0.025641,3,0.867521,0.025641,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427273,0.462121,0.078404,NA,0.41356,0.488161,0.165843,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.739264,1.858896,0.066521,NA,2.241379,2.224138,-0.007722,NA,NA,NA,NA,0.076763348,0.000630717
44,"duan, chengjiao(2019)",2019,"yangling, shannxi
province, chiNA",34.272,108.0819,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,-0.69897,0.36,-0.443697,NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,stress,heavy metal,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,tp,acid digestion,g/kg,0.876068,0.017094,3,0.833333,0.021368,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177273,0.19697,0.105361,NA,0.308393,0.376933,0.200693,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.417178,0.708589,-0.693147,NA,0.965517,0.844828,-0.133531,NA,NA,NA,NA,-0.050010391,0.000346073
44,"duan, chengjiao(2019)",2019,"yangling, shannxi
province, chiNA",34.272,108.0819,sinorhizobium meliloti ccnwsx0020,pgpr,bacteria,greenhouse,bacterial suspension,water,bacteria yes,NA,NA,1,NA,NA,NA,no,roots,NA,other,NA,unknow,bulk,8.49,0.928908,NA,NA,7.656613,0.884037,0.2,-0.69897,0.36,-0.443697,NA,NA,NA,NA,NA,NA,27.5,1.439333,NA,NA,unsterilization,NA,stress,heavy metal,NA,no fertilizer,NA,NA,unknow,alfalfa,medicago sativa l.,herbaceous plants,31,Short-term,tp,acid digestion,g/kg,0.794872,0.064102,3,0.833333,0.012821,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051515,0.095455,0.616773,NA,0.227469,0.271767,0.177931,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855828,1.076687,0.229574,NA,0.517241,0.603448,0.154151,NA,NA,NA,NA,0.047252227,0.002246743
