study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
209,"wen, zhonghua(2022)",2022,"shenyang, liaoning, china","rhizophagus irregularis (bgc, bj09)",amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"30 spores/g, 10g/pot",na,0.6,500,2.69897,cfu/kg soil,yes,soils,na,other,na,not sandy,bulk,7.05,0.848189,13,1.113943,na,na,1.52,0.181844,na,na,na,na,na,na,na,na,12,1.079181,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,rice,na,crop,35,Short-term,tp,unknow,g/kg,0.92,0.051962,3,1.02,1.70E-05,3,ph,7.1,0.034641,3,7.27,0.034641,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.103184236,0.001063347
209,"wen, zhonghua(2022)",2022,"shenyang, liaoning, china","rhizophagus irregularis (bgc, bj09)",amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"30 spores/g, 10g/pot",na,0.6,500,2.69897,cfu/kg soil,yes,soils,na,other,na,not sandy,bulk,7.05,0.848189,13,1.113943,na,na,1.52,0.181844,na,na,na,na,na,na,na,na,12,1.079181,na,na,sterilization,na,no stress,na,na,fertilizer,biochar,na,no native,rice,na,crop,35,Short-term,tp,unknow,g/kg,1.01,1.70E-05,3,0.96,0.017321,3,ph,7.27,0.051962,3,7.33,0.034641,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.050772325,0.000108513
209,"wen, zhonghua(2022)",2022,"shenyang, liaoning, china","rhizophagus irregularis (bgc, bj09)",amf,amf,greenhouse,amf inoculum( consisted of soil colonized root fragments),sterilized amf inoculum,amf yes,"30 spores/g, 10g/pot",na,0.6,500,2.69897,cfu/kg soil,yes,soils,na,other,na,not sandy,bulk,7.05,0.848189,13,1.113943,na,na,1.52,0.181844,na,na,na,na,na,na,na,na,12,1.079181,na,na,sterilization,na,no stress,na,na,fertilizer,biochar,na,no native,rice,na,crop,35,Short-term,tp,unknow,g/kg,1.02,0.051962,3,0.96,0.051962,3,ph,7.4,0.051962,3,7.4,0.017321,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.060624622,0.001841648
274,"shen, yawen(2021)",2021,na,"rhiÂ­zophagus intraradices, claroideoglomus etunicatum, claroideoglomus
claroideum, funneliformis caledonium, funneliformis geosporum, rhizoÂ­
phagus manihotis, and funneliformis mosseae",amf,amf,greenhouse,amf spores,water,amf yes,"1*108cfu/ml, 10ml/pot",na,1,1000000000,9,cfu/kg soil,yes,soils,na,plantation,alfisol,unknow,bulk,7.94,0.899821,na,na,8.46,0.92737,1.09,0.037426,na,na,na,na,na,na,na,na,3.54,0.549003,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,ryegrass,na,herbaceous plants,80,Short-term,tp,unknow,mg/kg,595,44.72136,5,618,4.472136,5,ph,7.51,0.134164,5,7.63,0.067082,5,na,na,na,na,na,na,3.89,0.268328,5,3.36,0.31305,5,na,na,na,na,na,na,na,na,na,1.95,0.08,na,5,2.2,0.06,na,5,se,1.94,0.1,na,5,1.15,0.14,na,5,se,0.037927052,0.001140337
274,"shen, yawen(2021)",2021,na,"rhiÂ­zophagus intraradices, claroideoglomus etunicatum, claroideoglomus
claroideum, funneliformis caledonium, funneliformis geosporum, rhizoÂ­
phagus manihotis, and funneliformis mosseae",amf,amf,greenhouse,amf spores,water,amf yes,"1*108cfu/ml, 10ml/pot",na,1,1000000000,9,cfu/kg soil,yes,soils,na,plantation,alfisol,unknow,bulk,7.94,0.899821,na,na,8.46,0.92737,1.09,0.037426,na,na,na,na,na,na,na,na,3.54,0.549003,na,na,unsterilization,na,no stress,na,na,fertilizer,n fertilizer,50kg n /ha,no native,ryegrass,na,herbaceous plants,80,Short-term,tp,unknow,mg/kg,607,15.652476,5,627,13.416408,5,ph,7.55,0.067082,5,7.48,0.044721,5,na,na,na,na,na,na,3.61,0.33541,5,3.93,0.33541,5,na,na,na,na,na,na,na,na,na,2.67,0.07,na,5,2.86,0.14,na,5,se,0.94,0.09,na,5,1.07,0.05,na,5,se,0.03241775,0.000224563
274,"shen, yawen(2021)",2021,na,"rhiÂ­zophagus intraradices, claroideoglomus etunicatum, claroideoglomus
claroideum, funneliformis caledonium, funneliformis geosporum, rhizoÂ­
phagus manihotis, and funneliformis mosseae",amf,amf,greenhouse,amf spores,water,amf yes,"1*108cfu/ml, 10ml/pot",na,1,1000000000,9,cfu/kg soil,yes,soils,na,plantation,alfisol,unknow,bulk,7.94,0.899821,na,na,8.46,0.92737,1.09,0.037426,na,na,na,na,na,na,na,na,3.54,0.549003,na,na,unsterilization,na,no stress,na,na,fertilizer,p fertilizer,20kg n /ha,no native,ryegrass,na,herbaceous plants,80,Short-term,tp,unknow,mg/kg,580,24.596748,5,618,31.304952,5,ph,7.53,0.111803,5,7.6,0.134164,5,na,na,na,na,na,na,4.89,0.290689,5,4.47,0.33541,5,na,na,na,na,na,na,na,na,na,3.32,0.09,na,5,3.37,0.12,na,5,se,1.57,0.07,na,5,1.1,0.05,na,5,se,0.063460354,0.000872882
274,"shen, yawen(2021)",2021,na,"rhiÂ­zophagus intraradices, claroideoglomus etunicatum, claroideoglomus
claroideum, funneliformis caledonium, funneliformis geosporum, rhizoÂ­
phagus manihotis, and funneliformis mosseae",amf,amf,greenhouse,amf spores,water,amf yes,"1*108cfu/ml, 10ml/pot",na,1,1000000000,9,cfu/kg soil,yes,soils,na,plantation,alfisol,unknow,bulk,7.94,0.899821,na,na,8.46,0.92737,1.09,0.037426,na,na,na,na,na,na,na,na,3.54,0.549003,na,na,unsterilization,na,no stress,na,na,fertilizer,"n fertilizer, p fertilizer","20kg n /ha, 50kg n /ha",no native,ryegrass,na,herbaceous plants,80,Short-term,tp,unknow,mg/kg,585,33.54102,5,618,20.124612,5,ph,7.51,0.044721,5,7.69,0.089443,5,na,na,na,na,na,na,3.94,0.559017,5,5.29,0.33541,5,na,na,na,na,na,na,na,na,na,2.81,0.24,na,5,3.24,0.08,na,5,se,1.13,0.14,na,5,2.05,0.1,na,5,se,0.05487661,0.000869546
