study.id,publication,pubyear,location,Latitude,Longitude,microbial.NAme,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,fiNAl.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,NAtive,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,xe.1,RRpH,yield,xc.2,xe.2,RRyield,plant.biomass,xc.3,xe.3,RRbiomass,leaf.biomass,xc.4,xe.4,RRleaf_biomass,shoot.biomass,xc.5,xe.5,RRshoot_biomass,root.biomass,xc.6,xe.6,RRroot_biomass,plant_p_leaf,xc.7,xe.7,RR_pleaf,plant_p_grain,xc.8,xe.8,RR_pgrain,plant_p_shoot,xc.9,xe.9,RR_pshoot,plant_p_root,xc.10,xe.10,RR_proot,plant_p,xc.11,xe.11,RR_pplant,RR,Vi
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,0.62,0.1,5,0.55,0.1,5,ph,5.09,5.17,0.015595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.1,-0.090972,NA,1,1.1,0.09531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1198012,0.011814484
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,0.76,0.1,5,0.6,0.1,5,ph,4.99,4.95,-0.008048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.2,-0.044452,NA,1,1.2,0.182322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.236388778,0.009018159
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,0.62,0.1,5,0.68,0.3,5,ph,5.09,5.12,0.005877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.2,-0.044452,NA,1,1.2,0.182322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09237332,0.044130249
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,1.03,0.3,5,0.79,0.1,5,ph,5.5,5.52,0.00363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,8.9,-0.065241,NA,3.6,3.7,0.027399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.265281136,0.020171341
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,1.59,0.3,5,1.69,0.4,5,ph,5.33,5.41,0.014898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,8.9,-0.065241,NA,3.6,3.7,0.027399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060994513,0.018324061
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,1.03,0.3,5,1.15,0.1,5,ph,5.5,5.54,0.007246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5,0,NA,3.6,3.8,0.054067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11020314,0.018479014
9,"liu, q.(2007)",2007,NA,â38.1420,176.251,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",NA,0.5kg,40000000,7.60206,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.8,0.763428,NA,NA,NA,NA,NA,NA,0.205,-0.688246,NA,NA,NA,NA,NA,NA,0.9,-0.045757,NA,NA,unsterilization,NA,no stress,NA,NA,fertilizer,organic p,100mg p/kg soil,NAtive,pinus radiata,pinus radiata d. don,tree,300,Medium-term,ap,resin,ug/g,1.59,0.3,5,1.24,0.3,5,ph,5.33,5.36,0.005613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,9.5,0,NA,3.6,3.8,0.054067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248622637,0.018826527
11,"della mÃ³nica, ivaNA f.(2020)",2020,NA,â34.5736,â58.4373,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.69897,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,water-extractable p,mg/l,3.99017,0.529629,6,4.00983,0.77034,6,ph,5.98501,5.40106,-0.102663,NA,NA,NA,NA,NA,2.6,3,0.143101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00491501,0.009087588
11,"della mÃ³nica, ivaNA f.(2020)",2020,NA,â34.5736,â58.4373,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.69897,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,water-extractable p,mg/l,3.99017,0.529629,6,4.77641,0.962943,6,ph,5.98501,5.30461,-0.120682,NA,NA,NA,NA,NA,2.6,2.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179855382,0.009710385
11,"della mÃ³nica, ivaNA f.(2020)",2020,NA,â34.5736,â58.4373,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.69897,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,water-extractable p,mg/l,3.99017,0.529629,6,4.75676,0.481472,6,ph,5.98501,5.24741,-0.131523,NA,NA,NA,NA,NA,2.6,3.45,0.282863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175732928,0.004643891
11,"della mÃ³nica, ivaNA f.(2020)",2020,NA,â34.5736,â58.4373,talaromyces helicus l7b,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",NA,1l,500000,5.69897,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.98501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,water-extractable p,mg/l,3.99017,0.529629,6,5.91646,1.155547,6,ph,5.98501,5.16778,-0.146815,NA,NA,NA,NA,NA,2.6,3.11,0.179111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393904461,0.009294062
11,"della mÃ³nica, ivaNA f.(2020)",2020,NA,â34.5736,â58.4373,rhizophagus irregularis,amf,amf,greenhouse,"amf inoculum(consisted of agar, spores)",none,amf inoculum yes,NA,NA,1l,NA,NA,NA,no,soils,anthrosol,other,anthrosol,unknow,rhizosphere,5.40107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,wheat,triticum aestivum,crop,75,Short-term,ap,water-extractable p,mg/l,4.18,0.562599,6,5.19,0.563113,6,ph,5.40107,5.86013,0.081575,NA,NA,NA,NA,NA,3.1,2.9,-0.066691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216422451,0.004981243
15,"el maaloum, saNAe(2020)",2020,"marrakesh, morocco",31.62947,â7.98108,"myroides odoratus, alcaligenes feacalis, alcaligenes sp. (cife â ht30), alcaligenes sp. (ht18-mrl)",psb,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 10ml/2kg",NA,2kg,500000000,8.69897,cfu/kg soil,yes,soils,farmland,cropland,NA,unknow,rhizosphere,8.5,0.929419,NA,NA,2.842227,0.453659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.90309,NA,NA,sterilization,NA,no stress,NA,NA,no fertilizer,NA,NA,no NAtive,tomato,solanum lycopersicum âcampbell 33Ê¹,herbaceous plants,20,Short-term,ap,olsen,mg/kg,56.5841,8.7472,4,61.0294,13.8497,4,ph,8.18114,8.07066,-0.013596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.15,-0.470004,NA,0.03,0.01,-1.098612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075627688,0.018849192
