study id,publication,pubyear,location,Latitude,Longitude,microbial name,microbial type,inoculant type,experimental type,inoculum in tr,inoculum in ck,inoculum,inoculation amount,inoculation amount,soil weight,final inoculation amount,log10,unit,inoculant quantity ,inoculation location,soil use type,soil origin,soil type,sandy or not sandy,extraction part,soil ph,log10ph,soil tc,log10tc,soil soc,log10soc,tn,log10tn,tp,log10tp,organic p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application background,stress,specific background,rate,fertilizer,fertilizer type,supply rate,native,plant,plant latin,plant type,experimental duration,experimental.periods,variable,methods,unit,xc,sc,nc,xe,se,ne,ph,xc,xe,RRpH,yield,xc,xe,RRyield,plant biomass,xc,xe,RRbiomass,leaf biomass,xc,xe,RRleaf_biomass,shoot biomass,xc,xe,RRshoot_biomass,root biomass,xc,xe,RRroot_biomass,plant_p_leaf,xc,xe,RR_pleaf,plant_p_grain,xc,xe,RR_pgrain,plant_p_shoot,xc,xe,RR_pshoot,plant_p_root,xc,xe,RR_proot,plant_p,xc,xe,RR_pplant
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,0.620000 ,0.100000 ,5.000000 ,0.550000 ,0.100000 ,5.000000 ,ph,5.090000 ,5.170000 ,0.015595 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,2.300000 ,2.100000 ,(0.090972),na,1.000000 ,1.100000 ,0.095310 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,0.760000 ,0.100000 ,5.000000 ,0.600000 ,0.100000 ,5.000000 ,ph,4.990000 ,4.950000 ,(0.008048),na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,2.300000 ,2.200000 ,(0.044452),na,1.000000 ,1.200000 ,0.182322 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,0.620000 ,0.100000 ,5.000000 ,0.680000 ,0.300000 ,5.000000 ,ph,5.090000 ,5.120000 ,0.005877 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,2.300000 ,2.200000 ,(0.044452),na,1.000000 ,1.200000 ,0.182322 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,1.030000 ,0.300000 ,5.000000 ,0.790000 ,0.100000 ,5.000000 ,ph,5.500000 ,5.520000 ,0.003630 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,9.500000 ,8.900000 ,(0.065241),na,3.600000 ,3.700000 ,0.027399 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,suillus luteus (l. ex. fr.) s. f. gray,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,1.590000 ,0.300000 ,5.000000 ,1.690000 ,0.400000 ,5.000000 ,ph,5.330000 ,5.410000 ,0.014898 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,9.500000 ,8.900000 ,(0.065241),na,3.600000 ,3.700000 ,0.027399 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,bulk,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,1.030000 ,0.300000 ,5.000000 ,1.150000 ,0.100000 ,5.000000 ,ph,5.500000 ,5.540000 ,0.007246 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,9.500000 ,9.500000 ,0.000000 ,na,3.600000 ,3.800000 ,0.054067 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
9.000000 ,"liu, q.(2007)",2007.000000 ,na,−38.1420,176.251000 ,rhizopogon rubescens tul.,ecm,fungi,greenhouse,spores suspension,sterilized spores suspension,fungi yes,"3-4*107 spores/ml, 5ml/each seeding, 5 seedings/pots",na,0.5kg,40000000.000000 ,7.602060 ,spores/seeding,yes,seedings,forest,forest,andosol,unknow,rhizosphere,5.800000 ,0.763428 ,na,na,na,na,na,na,0.205000 ,(0.688246),na,na,na,na,na,na,0.900000 ,(0.045757),na,na,unsterilization,na,no stress,na,na,fertilizer,organic p,100mg p/kg soil,native,pinus radiata,pinus radiata d. don,tree,300.000000 ,Medium-term,ap,resin,ug/g,1.590000 ,0.300000 ,5.000000 ,1.240000 ,0.300000 ,5.000000 ,ph,5.330000 ,5.360000 ,0.005613 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,9.500000 ,9.500000 ,0.000000 ,na,3.600000 ,3.800000 ,0.054067 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
11.000000 ,"della mónica, ivana f.(2020)",2020.000000 ,na,−34.5736,−58.4373,talaromyces diversus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap,water-extractable p,mg/l,3.990170 ,0.529629 ,6.000000 ,4.009830 ,0.770340 ,6.000000 ,ph,5.985010 ,5.401060 ,(0.102663),na,na,na,#VALUE!,na,2.600000 ,3.000000 ,0.143101 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
11.000000 ,"della mónica, ivana f.(2020)",2020.000000 ,na,−34.5736,−58.4373,talaromyces flavus,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap,water-extractable p,mg/l,3.990170 ,0.529629 ,6.000000 ,4.776410 ,0.962943 ,6.000000 ,ph,5.985010 ,5.304610 ,(0.120682),na,na,na,#VALUE!,na,2.600000 ,2.600000 ,0.000000 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
11.000000 ,"della mónica, ivana f.(2020)",2020.000000 ,na,−34.5736,−58.4373,talaromyces helicus n24,psf,fungi,greenhouse,fungal suspension,none,fungi yes,"1*105 conidia/ml, 5ml/pot",na,1l,500000.000000 ,5.698970 ,spores/l soil,yes,soils,anthrosol,other,anthrosol,unknow,rhizosphere,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,no native,wheat,triticum aestivum,crop,75.000000 ,Short-term,ap,water-extractable p,mg/l,3.990170 ,0.529629 ,6.000000 ,4.756760 ,0.481472 ,6.000000 ,ph,5.985010 ,5.247410 ,(0.131523),na,na,na,#VALUE!,na,2.600000 ,3.450000 ,0.282863 ,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!,na,na,na,#VALUE!
