study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,"90-120 propagules /10g, 20/pot",na,2.5kg,80,1.903089987,propagules/kg soil,yes,soils,na,other,na,unknow,rhizosphere,5,0.69897,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.8,0.681241,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,native,turmeric,curcuma longa l.,herbaceous plants,90,Short-term,phosphatase,acid pme,ug pnp/g/h,9.13,0.62,5,18.11,0.62,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.684898577,0.001156709
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,"90-120 propagules /10g, 20/pot",na,2.5kg,80,1.903089987,propagules/kg soil,yes,soils,na,other,na,unknow,rhizosphere,5,0.69897,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.8,0.681241,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,native,turmeric,curcuma longa l.,herbaceous plants,150,Medium-term,phosphatase,acid pme,ug pnp/g/h,14.35,0.45,5,18.33,0.62,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.24478912,0.000425493
18,"dutta, shanti chaya(2017)",2017,dibrugarh university,"a consortium of glomus, gigaspora and acaulospora sp.",amf,amf,greenhouse,"amf inoculum(consisted of soil, spores,
hyphae)",none,amf inoculum yes,"90-120 propagules /10g, 20/pot",na,2.5kg,80,1.903089987,propagules/kg soil,yes,soils,na,other,na,unknow,rhizosphere,5,0.69897,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.8,0.681241,na,na,sterilization,na,no stress,na,na,no fertilizer,na,na,native,turmeric,curcuma longa l.,herbaceous plants,210,Medium-term,phosphatase,acid pme,ug pnp/g/h,8.6,0.73,5,13.89,0.48,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.479406954,0.00167989
266,"nikolaidou, charitini(2021)",2021,"40.4021â¦ n, 23.1533â¦ e",rhizophagus irregularis,amf,amf,greenhouse,amf powder,water,amf inoculum yes,"1*106 propagules/g, 0.2g/ soil",na,2,100000,5,propagules/kg soil,yes,soils,farmland,cropland,na,sandy,rhizosphere,5.72,0.757396,na,na,12.6,1.100371,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,no stress,na,na,no fertilizer,na,na,no native,lettuce,na,herbaceous plants,60,Short-term,phosphatase,acid pme,umol/g/h,0.360332,0.031008,4,0.367795,0.043408,4,na,na,na,na,na,na,na,na,na,na,na,na,na,0.320375,0.147454,4,0.143432,0.037532,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.020499889,0.005333635
266,"nikolaidou, charitini(2021)",2021,"40.4021â¦ n, 23.1533â¦ e",rhizophagus irregularis,amf,amf,greenhouse,amf powder,water,amf inoculum yes,"1*106 propagules/g, 0.2g/ soil",na,2,100000,5,propagules/kg soil,yes,soils,farmland,cropland,na,sandy,rhizosphere,5.72,0.757396,na,na,12.6,1.100371,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unsterilization,na,stress,dry,na,no fertilizer,na,na,no native,lettuce,na,herbaceous plants,60,Short-term,phosphatase,acid pme,umol/g/h,0.425973,0.047546,4,0.357984,0.041342,4,na,na,na,na,na,na,na,na,na,na,na,na,na,0.089812,0.086896,4,0.072386,0.0563,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.173887671,0.006448843
