study.id,publication,pubyear,location,microbial.name,microbial.type,inoculant.type,experimental.type,inoculum.in.tr,inoculum.in.ck,inoculum,inoculation.amount,inoculation.amount.1,soil.weight,final.inoculation.amount,log10,unit,inoculant.quantity,inoculation.location,soil.use.type,soil.origin,soil.type,sandy.or.not.sandy,extraction.part,soil.ph,log10ph,soil.tc,log10tc,soil.soc,log10soc,tn,log10tn,tp,log10tp,organic.p,log10op,tk,log10tk,an,log10an,ap,log10ap,ak,log10ak,sterilization,application.background,stress,specific.background,rate,fertilizer,fertilizer.type,supply.rate,native,plant,plant.latin,plant.type,experimental.duration,experimental.periods,variable,methods,unit.1,xc,sc,nc,xe,se,ne,ph,xc.1,sc.1,nc.1,xe.1,se.1,ne.1,X.yield.xc,sc.2,nc.2,xe.2,se.2,ne.2,X.plant.biomass.xc,sc.3,nc.3,xe.3,se.3,ne.3,X.leaf.biomass.xc,sc.4,na,nc.4,xe.4,se.4,na.1,ne.4,sd.se,X.shoot.biomass.xc,sc.5,na.2,nc.5,xe.5,se.5,na.3,ne.5,sd.se.1,X.root.biomass.xc,sc.6,na.4,nc.6,xe.6,se.6,na.5,ne.6,sd.se.2,RR,Vi
22,"hidri, rabaa(2019)",2019,granada,bacillus subtilis,pgpr,bacteria,greenhouse,bacterial suspension,none,bacteria yes,"1*108 cfu/ml, 1ml/0.5kg",na,0.5kg,200000000,8.301029996,cfu/kg soil,yes,soils,na,other,loam,not sandy,rhizosphere,8.1,0.908485,na,na,8.700696,0.939554,1.9,0.278754,1,0,27,1.431364,na,na,na,na,na,na,na,na,unsterilization,na,stress,salt,na,no fertilizer,na,na,no native,sulla,sulla coronaria cv. bikra 21,herbaceous plants,60,Short-term,phosphatase,alkaline pme,umol pnf g/h,466.64,NA,NA,575.76,NA,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.325638,0.034314,0.359952,5,0.301655,0.013726,0.315381,5,se,0.677012,0.110204,0.787216,5,0.826258,0.085714,0.911972,5,se,0.210132825,3.401919208
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,rhizosphere,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,no fertilizer,"nh4h2po4,cn2h4o",na,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,2.76,0.04,6,3.06,0.04,6,ph,8.47753,0.11023,6,8.57072,0.04823,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.103184236,6.35E-05
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,bulk,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,no fertilizer,"nh4h2po4,cn2h4o",na,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,3.32,0.06,6,3.19,0.02,6,ph,8.33238,0.12401,6,8.16056,0.07579,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.039943866,6.10E-05
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,rhizosphere,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",50mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,3.18,0.08,6,3.3,0.06,6,ph,8.60889,0.04134,6,8.59873,0.10335,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.037041272,0.000160577
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,bulk,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",50mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,3.63,0.05,6,3.29,0.04,6,ph,8.41426,0.01378,6,8.48358,0.02067,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.098345083,5.63E-05
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,rhizosphere,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",100mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,2.93,0.04,6,3.09,0.05,6,ph,8.65067,0.02757,6,8.88165,0.01379,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.053168668,7.47E-05
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,bulk,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",100mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,3.77,0.05,6,3.38,0.03,6,ph,8.59258,0.08268,6,8.33806,0.15162,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.109199292,4.24E-05
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,rhizosphere,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",150mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,2.84,0.06,6,2.97,0.06,6,ph,8.63735,0.10335,6,8.36538,0.02755,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.044757901,0.00014241
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,bulk,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,fertilizer,"nh4h2po4,cn2h4o",150mg/kg,unknow,alfalfa,medicago sativa l.,herbaceous plants,122,Medium-term,phosphatase,alkaline pme,na,3.27,0.09,6,3.31,0.06,6,ph,8.69511,0.10335,6,8.26148,0.02756,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.012158204,0.000181016
28,"an, xiaoxia(2022)",2022,"44â¦18î° n, 86â¦03î° e",bacillus megaterium,pgpr,bacteria,greenhouse,bacterial medium,sterilized bacterial medium,bacteria yes,"108cfu/ml, 10ml/kg",na,3kg,333333333,8.522878745,cfu/kg soil,yes,soils,unkonw,other,na,unknow,rhizosphere,na,na,na,na,14.083527,1.148711,na,na,0.21,-0.677781,na,na,na,na,na,na,18.17,1.259355,na,na,sterilization,na,no stress,na,na,no fertilizer,"nh4h2po4,cn2h4o",na,unknow,alfalfa,medicago sativa l.,herbaceous plants,164,Medium-term,phosphatase,alkaline pme,na,6.03,0.09,6,6.44,0.13,6,ph,8.24341,0.04823,6,8.12991,0.01378,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.065781529,0.000105042
